id,price,sqft,bedrooms,bathrooms,neighborhood,year_built,lot_size,floors,basement,garage,distance_to_city_center,school_rating,property_type
1,320000,1800,3,2,Downtown,1998,0.12,1,1,1,1.2,8.5,Single Family
2,450000,2400,4,2.5,Riverside,2002,0.18,2,1,2,2.5,9.1,Single Family
3,280000,1500,2,1.5,Westside,1985,0.10,1,0,1,3.7,7.8,Single Family
4,520000,2800,5,3,Northend,2010,0.22,2,1,2,4.2,9.3,Single Family
5,380000,1950,3,2,Eastside,2005,0.15,1,1,1,2.9,8.2,Single Family
6,295000,1600,3,1.5,Southside,1992,0.11,1,0,1,5.1,7.4,Single Family
7,410000,2200,4,2,Downtown,2001,0.09,2,1,1,0.8,8.7,Townhouse
8,350000,1850,3,2,Riverside,1999,0.14,1,1,1,2.1,8.9,Single Family
9,620000,3200,5,3.5,Northend,2015,0.25,2,1,3,3.8,9.5,Single Family
10,275000,1400,2,1,Westside,1982,0.09,1,0,1,4.2,7.2,Single Family
11,340000,1750,3,2,Eastside,2003,0.13,1,1,1,3.1,8.3,Single Family
12,395000,2100,4,2,Southside,2007,0.17,2,1,2,4.5,7.9,Single Family
13,580000,3000,4,3,Northend,2012,0.23,2,1,2,3.5,9.4,Single Family
14,310000,1650,3,1.5,Westside,1990,0.12,1,0,1,3.9,7.6,Single Family
15,420000,2300,4,2.5,Riverside,2004,0.16,2,1,2,2.3,9.0,Single Family
16,360000,1900,3,2,Downtown,2000,0.08,2,0,1,1.0,8.6,Townhouse
17,490000,2600,4,3,Northend,2008,0.20,2,1,2,3.9,9.2,Single Family
18,285000,1500,3,1.5,Southside,1989,0.10,1,0,1,5.3,7.3,Single Family
19,370000,1950,3,2,Eastside,2002,0.14,1,1,1,3.0,8.4,Single Family
20,530000,2900,5,3,Riverside,2011,0.21,2,1,2,2.7,9.1,Single Family
21,305000,1600,3,1.5,Westside,1993,0.11,1,0,1,4.0,7.7,Single Family
22,425000,2250,4,2.5,Downtown,2005,0.09,2,1,1,1.5,8.8,Townhouse
23,365000,1900,3,2,Eastside,2001,0.15,1,1,1,3.2,8.3,Single Family
24,480000,2500,4,2.5,Northend,2007,0.19,2,1,2,4.0,9.2,Single Family
25,290000,1550,3,1.5,Southside,1991,0.10,1,0,1,5.2,7.5,Single Family
26,385000,2000,3,2,Riverside,2003,0.15,1,1,1,2.4,8.9,Single Family
27,550000,3000,5,3,Northend,2013,0.23,2,1,2,3.6,9.4,Single Family
28,315000,1650,3,2,Westside,1994,0.12,1,1,1,3.8,7.8,Single Family
29,430000,2300,4,2.5,Downtown,2006,0.09,2,1,1,1.1,8.7,Townhouse
30,375000,1950,3,2,Eastside,2002,0.14,1,1,1,3.3,8.4,Single Family
31,495000,2600,4,3,Northend,2009,0.21,2,1,2,3.7,9.3,Single Family
32,298000,1550,3,1.5,Southside,1992,0.11,1,0,1,5.0,7.4,Single Family
33,390000,2050,4,2,Riverside,2004,0.16,1,1,2,2.2,9.0,Single Family
34,560000,3100,5,3.5,Northend,2014,0.24,2,1,2,3.5,9.4,Single Family
35,320000,1700,3,2,Westside,1995,0.12,1,1,1,3.7,7.9,Single Family
36,440000,2350,4,2.5,Downtown,2007,0.09,2,1,1,0.9,8.8,Townhouse
37,380000,2000,3,2,Eastside,2003,0.15,1,1,1,3.1,8.4,Single Family
38,505000,2700,4,3,Northend,2010,0.22,2,1,2,3.8,9.3,Single Family
39,300000,1600,3,1.5,Southside,1993,0.11,1,0,1,4.9,7.5,Single Family
40,395000,2100,4,2,Riverside,2005,0.16,1,1,2,2.3,9.0,Single Family
41,570000,3150,5,3.5,Northend,2015,0.25,2,1,3,3.4,9.5,Single Family
42,325000,1700,3,2,Westside,1996,0.13,1,1,1,3.6,7.9,Single Family
43,445000,2400,4,2.5,Downtown,2008,0.09,2,1,1,1.2,8.8,Townhouse
44,385000,2050,3,2,Eastside,2004,0.15,1,1,1,3.0,8.5,Single Family
45,515000,2750,4,3,Northend,2011,0.22,2,1,2,3.7,9.3,Single Family
46,302000,1600,3,1.5,Southside,1994,0.11,1,0,1,4.8,7.5,Single Family
47,398000,2100,4,2,Riverside,2006,0.16,1,1,2,2.4,9.0,Single Family
48,580000,3200,5,3.5,Northend,2016,0.25,2,1,3,3.3,9.5,Single Family
49,328000,1750,3,2,Westside,1997,0.13,1,1,1,3.5,8.0,Single Family
50,450000,2400,4,2.5,Downtown,2009,0.09,2,1,1,1.0,8.9,Townhouse
51,330000,1850,3,2,Downtown,1999,0.12,1,1,1,1.3,8.6,Single Family
52,460000,2450,4,2.5,Riverside,2003,0.18,2,1,2,2.6,9.1,Single Family
53,290000,1550,2,1.5,Westside,1986,0.10,1,0,1,3.8,7.8,Single Family
54,530000,2850,5,3,Northend,2011,0.22,2,1,2,4.3,9.3,Single Family
55,390000,2000,3,2,Eastside,2006,0.15,1,1,1,3.0,8.2,Single Family
56,305000,1650,3,1.5,Southside,1993,0.11,1,0,1,5.2,7.4,Single Family
57,420000,2250,4,2,Downtown,2002,0.09,2,1,1,0.9,8.7,Townhouse
58,360000,1900,3,2,Riverside,2000,0.14,1,1,1,2.2,8.9,Single Family
59,630000,3250,5,3.5,Northend,2016,0.25,2,1,3,3.9,9.5,Single Family
60,285000,1450,2,1,Westside,1983,0.09,1,0,1,4.3,7.2,Single Family
61,350000,1800,3,2,Eastside,2004,0.13,1,1,1,3.2,8.3,Single Family
62,405000,2150,4,2,Southside,2008,0.17,2,1,2,4.6,7.9,Single Family
63,590000,3050,4,3,Northend,2013,0.23,2,1,2,3.6,9.4,Single Family
64,320000,1700,3,1.5,Westside,1991,0.12,1,0,1,4.0,7.6,Single Family
65,430000,2350,4,2.5,Riverside,2005,0.16,2,1,2,2.4,9.0,Single Family
66,370000,1950,3,2,Downtown,2001,0.08,2,0,1,1.1,8.6,Townhouse
67,500000,2650,4,3,Northend,2009,0.20,2,1,2,4.0,9.2,Single Family
68,295000,1550,3,1.5,Southside,1990,0.10,1,0,1,5.4,7.3,Single Family
69,380000,2000,3,2,Eastside,2003,0.14,1,1,1,3.1,8.4,Single Family
70,540000,2950,5,3,Riverside,2012,0.21,2,1,2,2.8,9.1,Single Family
71,315000,1650,3,1.5,Westside,1994,0.11,1,0,1,4.1,7.7,Single Family
72,435000,2300,4,2.5,Downtown,2006,0.09,2,1,1,1.6,8.8,Townhouse
73,375000,1950,3,2,Eastside,2002,0.15,1,1,1,3.3,8.3,Single Family
74,490000,2550,4,2.5,Northend,2008,0.19,2,1,2,4.1,9.2,Single Family
75,300000,1600,3,1.5,Southside,1992,0.10,1,0,1,5.3,7.5,Single Family
76,395000,2050,3,2,Riverside,2004,0.15,1,1,1,2.5,8.9,Single Family
77,560000,3050,5,3,Northend,2014,0.23,2,1,2,3.7,9.4,Single Family
78,325000,1700,3,2,Westside,1995,0.12,1,1,1,3.9,7.8,Single Family
79,440000,2350,4,2.5,Downtown,2007,0.09,2,1,1,1.2,8.7,Townhouse
80,385000,2000,3,2,Eastside,2003,0.14,1,1,1,3.4,8.4,Single Family
81,505000,2650,4,3,Northend,2010,0.21,2,1,2,3.8,9.3,Single Family
82,308000,1600,3,1.5,Southside,1993,0.11,1,0,1,5.1,7.4,Single Family
83,400000,2100,4,2,Riverside,2005,0.16,1,1,2,2.3,9.0,Single Family
84,570000,3150,5,3.5,Northend,2015,0.24,2,1,2,3.6,9.4,Single Family
85,330000,1750,3,2,Westside,1996,0.12,1,1,1,3.8,7.9,Single Family
86,450000,2400,4,2.5,Downtown,2008,0.09,2,1,1,1.0,8.8,Townhouse
87,390000,2050,3,2,Eastside,2004,0.15,1,1,1,3.2,8.4,Single Family
88,515000,2750,4,3,Northend,2011,0.22,2,1,2,3.9,9.3,Single Family
89,310000,1650,3,1.5,Southside,1994,0.11,1,0,1,5.0,7.5,Single Family
90,405000,2150,4,2,Riverside,2006,0.16,1,1,2,2.4,9.0,Single Family
91,580000,3200,5,3.5,Northend,2016,0.25,2,1,3,3.5,9.5,Single Family
92,335000,1750,3,2,Westside,1997,0.13,1,1,1,3.7,8.0,Single Family
93,455000,2450,4,2.5,Downtown,2009,0.09,2,1,1,1.1,8.9,Townhouse
94,395000,2100,3,2,Eastside,2005,0.15,1,1,1,3.1,8.5,Single Family
95,525000,2800,4,3,Northend,2012,0.22,2,1,2,3.8,9.3,Single Family
96,312000,1650,3,1.5,Southside,1995,0.11,1,0,1,4.9,7.5,Single Family
97,408000,2150,4,2,Riverside,2007,0.16,1,1,2,2.5,9.0,Single Family
98,590000,3250,5,3.5,Northend,2017,0.25,2,1,3,3.4,9.5,Single Family
99,338000,1800,3,2,Westside,1998,0.13,1,1,1,3.6,8.0,Single Family
100,460000,2450,4,2.5,Downtown,2010,0.09,2,1,1,1.0,8.9,Townhouse
101,325000,1850,3,2,Downtown,1997,0.12,1,1,1,1.1,8.5,Single Family
102,455000,2450,4,2.5,Riverside,2001,0.18,2,1,2,2.4,9.0,Single Family
103,285000,1550,2,1.5,Westside,1984,0.10,1,0,1,3.6,7.7,Single Family
104,525000,2850,5,3,Northend,2009,0.22,2,1,2,4.1,9.2,Single Family
105,385000,2000,3,2,Eastside,2004,0.15,1,1,1,2.8,8.1,Single Family
106,300000,1650,3,1.5,Southside,1991,0.11,1,0,1,5.0,7.3,Single Family
107,415000,2250,4,2,Downtown,2000,0.09,2,1,1,0.7,8.6,Townhouse
108,355000,1900,3,2,Riverside,1998,0.14,1,1,1,2.0,8.8,Single Family
109,625000,3250,5,3.5,Northend,2014,0.25,2,1,3,3.7,9.4,Single Family
110,280000,1450,2,1,Westside,1981,0.09,1,0,1,4.1,7.1,Single Family
111,345000,1800,3,2,Eastside,2002,0.13,1,1,1,3.0,8.2,Single Family
112,400000,2150,4,2,Southside,2006,0.17,2,1,2,4.4,7.8,Single Family
113,585000,3050,4,3,Northend,2011,0.23,2,1,2,3.4,9.3,Single Family
114,315000,1700,3,1.5,Westside,1989,0.12,1,0,1,3.8,7.5,Single Family
115,425000,2350,4,2.5,Riverside,2003,0.16,2,1,2,2.2,8.9,Single Family
116,365000,1950,3,2,Downtown,1999,0.08,2,0,1,0.9,8.5,Townhouse
117,495000,2650,4,3,Northend,2007,0.20,2,1,2,3.8,9.1,Single Family
118,290000,1550,3,1.5,Southside,1988,0.10,1,0,1,5.2,7.2,Single Family
119,375000,2000,3,2,Eastside,2001,0.14,1,1,1,2.9,8.3,Single Family
120,535000,2950,5,3,Riverside,2010,0.21,2,1,2,2.6,9.0,Single Family
121,310000,1650,3,1.5,Westside,1992,0.11,1,0,1,3.9,7.6,Single Family
122,430000,2300,4,2.5,Downtown,2004,0.09,2,1,1,1.4,8.7,Townhouse
123,370000,1950,3,2,Eastside,2000,0.15,1,1,1,3.1,8.2,Single Family
124,485000,2550,4,2.5,Northend,2006,0.19,2,1,2,3.9,9.1,Single Family
125,295000,1600,3,1.5,Southside,1990,0.10,1,0,1,5.1,7.4,Single Family
126,390000,2050,3,2,Riverside,2002,0.15,1,1,1,2.3,8.8,Single Family
127,555000,3050,5,3,Northend,2012,0.23,2,1,2,3.5,9.3,Single Family
128,320000,1700,3,2,Westside,1993,0.12,1,1,1,3.7,7.7,Single Family
129,435000,2350,4,2.5,Downtown,2005,0.09,2,1,1,1.0,8.6,Townhouse
130,380000,2000,3,2,Eastside,2001,0.14,1,1,1,3.2,8.3,Single Family
131,500000,2650,4,3,Northend,2008,0.21,2,1,2,3.6,9.2,Single Family
132,303000,1600,3,1.5,Southside,1991,0.11,1,0,1,4.9,7.3,Single Family
133,395000,2100,4,2,Riverside,2003,0.16,1,1,2,2.1,8.9,Single Family
134,565000,3150,5,3.5,Northend,2013,0.24,2,1,2,3.4,9.3,Single Family
135,325000,1750,3,2,Westside,1994,0.12,1,1,1,3.6,7.8,Single Family
136,445000,2400,4,2.5,Downtown,2006,0.09,2,1,1,0.8,8.7,Townhouse
137,385000,2050,3,2,Eastside,2002,0.15,1,1,1,3.0,8.3,Single Family
138,510000,2750,4,3,Northend,2009,0.22,2,1,2,3.7,9.2,Single Family
139,305000,1650,3,1.5,Southside,1992,0.11,1,0,1,4.8,7.4,Single Family
140,400000,2150,4,2,Riverside,2004,0.16,1,1,2,2.2,8.9,Single Family
141,575000,3200,5,3.5,Northend,2014,0.25,2,1,3,3.3,9.4,Single Family
142,330000,1750,3,2,Westside,1995,0.13,1,1,1,3.5,7.9,Single Family
143,450000,2450,4,2.5,Downtown,2007,0.09,2,1,1,0.9,8.8,Townhouse
144,390000,2100,3,2,Eastside,2003,0.15,1,1,1,2.9,8.4,Single Family
145,520000,2800,4,3,Northend,2010,0.22,2,1,2,3.6,9.2,Single Family
146,307000,1650,3,1.5,Southside,1993,0.11,1,0,1,4.7,7.4,Single Family
147,403000,2150,4,2,Riverside,2005,0.16,1,1,2,2.3,8.9,Single Family
148,585000,3250,5,3.5,Northend,2015,0.25,2,1,3,3.2,9.4,Single Family
149,333000,1800,3,2,Westside,1996,0.13,1,1,1,3.4,7.9,Single Family
150,455000,2450,4,2.5,Downtown,2008,0.09,2,1,1,0.8,8.8,Townhouse
151,340000,1850,3,2,Downtown,2000,0.12,1,1,1,1.4,8.6,Single Family
152,465000,2450,4,2.5,Riverside,2004,0.18,2,1,2,2.7,9.1,Single Family
153,295000,1550,2,1.5,Westside,1987,0.10,1,0,1,3.9,7.8,Single Family
154,535000,2850,5,3,Northend,2012,0.22,2,1,2,4.4,9.3,Single Family
155,395000,2000,3,2,Eastside,2007,0.15,1,1,1,3.1,8.2,Single Family
156,310000,1650,3,1.5,Southside,1994,0.11,1,0,1,5.3,7.4,Single Family
157,425000,2250,4,2,Downtown,2003,0.09,2,1,1,1.0,8.7,Townhouse
158,365000,1900,3,2,Riverside,2001,0.14,1,1,1,2.3,8.9,Single Family
159,635000,3250,5,3.5,Northend,2017,0.25,2,1,3,4.0,9.5,Single Family
160,290000,1450,2,1,Westside,1984,0.09,1,0,1,4.4,7.2,Single Family
161,355000,1800,3,2,Eastside,2005,0.13,1,1,1,3.3,8.3,Single Family
162,410000,2150,4,2,Southside,2009,0.17,2,1,2,4.7,7.9,Single Family
163,595000,3050,4,3,Northend,2014,0.23,2,1,2,3.7,9.4,Single Family
164,325000,1700,3,1.5,Westside,1992,0.12,1,0,1,4.1,7.6,Single Family
165,435000,2350,4,2.5,Riverside,2006,0.16,2,1,2,2.5,9.0,Single Family
166,375000,1950,3,2,Downtown,2002,0.08,2,0,1,1.2,8.6,Townhouse
167,505000,2650,4,3,Northend,2010,0.20,2,1,2,4.1,9.2,Single Family
168,300000,1550,3,1.5,Southside,1991,0.10,1,0,1,5.5,7.3,Single Family
169,385000,2000,3,2,Eastside,2004,0.14,1,1,1,3.2,8.4,Single Family
170,545000,2950,5,3,Riverside,2013,0.21,2,1,2,2.9,9.1,Single Family
171,320000,1650,3,1.5,Westside,1995,0.11,1,0,1,4.2,7.7,Single Family
172,440000,2300,4,2.5,Downtown,2007,0.09,2,1,1,1.7,8.8,Townhouse
173,380000,1950,3,2,Eastside,2003,0.15,1,1,1,3.4,8.3,Single Family
174,495000,2550,4,2.5,Northend,2009,0.19,2,1,2,4.2,9.2,Single Family
175,305000,1600,3,1.5,Southside,1993,0.10,1,0,1,5.4,7.5,Single Family
176,400000,2050,3,2,Riverside,2005,0.15,1,1,1,2.6,8.9,Single Family
177,565000,3050,5,3,Northend,2015,0.23,2,1,2,3.8,9.4,Single Family
178,330000,1700,3,2,Westside,1996,0.12,1,1,1,4.0,7.8,Single Family
179,445000,2350,4,2.5,Downtown,2008,0.09,2,1,1,1.3,8.7,Townhouse
180,390000,2000,3,2,Eastside,2004,0.14,1,1,1,3.5,8.4,Single Family
181,510000,2650,4,3,Northend,2011,0.21,2,1,2,3.9,9.3,Single Family
182,313000,1600,3,1.5,Southside,1994,0.11,1,0,1,5.2,7.4,Single Family
183,405000,2100,4,2,Riverside,2006,0.16,1,1,2,2.4,9.0,Single Family
184,575000,3150,5,3.5,Northend,2016,0.24,2,1,2,3.7,9.4,Single Family
185,335000,1750,3,2,Westside,1997,0.12,1,1,1,3.9,7.9,Single Family
186,455000,2400,4,2.5,Downtown,2009,0.09,2,1,1,1.1,8.8,Townhouse
187,395000,2050,3,2,Eastside,2005,0.15,1,1,1,3.3,8.4,Single Family
188,520000,2750,4,3,Northend,2012,0.22,2,1,2,4.0,9.3,Single Family
189,315000,1650,3,1.5,Southside,1995,0.11,1,0,1,5.1,7.5,Single Family
190,410000,2150,4,2,Riverside,2007,0.16,1,1,2,2.5,9.0,Single Family
191,585000,3200,5,3.5,Northend,2017,0.25,2,1,3,3.6,9.5,Single Family
192,340000,1750,3,2,Westside,1998,0.13,1,1,1,3.8,8.0,Single Family
193,460000,2450,4,2.5,Downtown,2010,0.09,2,1,1,1.2,8.9,Townhouse
194,400000,2100,3,2,Eastside,2006,0.15,1,1,1,3.2,8.5,Single Family
195,530000,2800,4,3,Northend,2013,0.22,2,1,2,3.9,9.3,Single Family
196,317000,1650,3,1.5,Southside,1996,0.11,1,0,1,5.0,7.5,Single Family
197,413000,2150,4,2,Riverside,2008,0.16,1,1,2,2.6,9.0,Single Family
198,595000,3250,5,3.5,Northend,2018,0.25,2,1,3,3.5,9.5,Single Family
199,343000,1800,3,2,Westside,1999,0.13,1,1,1,3.7,8.0,Single Family
200,465000,2450,4,2.5,Downtown,2011,0.09,2,1,1,1.1,8.9,Townhouse